CD_SETOR,CD_SIT,NM_SIT,CD_UF,NM_UF,SIGLA_UF,CD_MUN,NM_MUN,CD_DIST,NM_DIST,CD_SUBDIST,NM_SUBDIST,geometry
250750705000001,1,Área Urbana de Alta Densidade de Edificações,25,Paraíba,PB,2507507,João Pessoa,250750705,João Pessoa,25075070500,,"POLYGON ((-34.87387482 -7.14686139099996, -34.873727382 -7.14742190299995, -34.8736974139999 -7.14755678199998, -34.873559585 -7.14786667099997, -34.8729693289999 -7.14960168399995, -34.8721930799999 -7.15199201999997, -34.872813 -7.15227200999993, -34.8731999999999 -7.15106501999998, -34.8735571199999 -7.14993200999993, -34.8739376299999 -7.14874943999996, -34.874103281 -7.14827453399994, -34.8746064969999 -7.14670534999993, -34.8739673709999 -7.14653534299993, -34.87387482 -7.14686139099996))"
250750705000002,1,Área Urbana de Alta Densidade de Edificações,25,Paraíba,PB,2507507,João Pessoa,250750705,João Pessoa,25075070500,,"POLYGON ((-34.8745912479999 -7.14956015999996, -34.874794133 -7.15042105799995, -34.8747556759999 -7.15050418899995, -34.874737781 -7.15051143999995, -34.8747517259999 -7.15051735699996, -34.8748456079999 -7.15052478399997, -34.8750099539999 -7.15068362899996, -34.8753482239999 -7.15164411299997, -34.875464262 -7.15153564899992, -34.8755457889999 -7.15118854499997, -34.8758387889999 -7.15013314099997, -34.8761613579999 -7.14889106499993, -34.8765418799999 -7.14714695999993, -34.87590792 -7.14699197999994, -34.87527288 -7.14685202999993, -34.8745912479999 -7.14956015999996))"
250750705000003,1,Área Urbana de Alta Densidade de Edificações,25,Paraíba,PB,2507507,João Pessoa,250750705,João Pessoa,25075070500,,"POLYGON ((-34.874235439 -7.14542681699993, -34.8749231049999 -7.14563802699996, -34.8754928399999 -7.14580199999995, -34.87527288 -7.14685202999993, -34.87590792 -7.14699197999994, -34.87616316 -7.14593699999995, -34.8766378289999 -7.14503476599998, -34.876891676 -7.14448920799992, -34.876849907 -7.14447365499996, -34.87629071 -7.14422262799997, -34.8756458469999 -7.14392606299998, -34.874871449 -7.14358696799997, -34.8746720419999 -7.14407369699995, -34.87443912 -7.14480101999993, -34.874235439 -7.14542681699993))"
250750705000004,1,Área Urbana de Alta Densidade de Edificações,25,Paraíba,PB,2507507,João Pessoa,250750705,João Pessoa,25075070500,,"POLYGON ((-34.872644786 -7.14617582499994, -34.8732994489999 -7.14636197999994, -34.8739673709999 -7.14653534299993, -34.8746064969999 -7.14670534999993, -34.874103281 -7.14827453399994, -34.8743342839999 -7.14889978599996, -34.8745912479999 -7.14956015999996, -34.87527288 -7.14685202999993, -34.8754928399999 -7.14580199999995, -34.8749231049999 -7.14563802699996, -34.874235439 -7.14542681699993, -34.8736041509999 -7.14518098999997, -34.8729761889999 -7.14494246199996, -34.872847748 -7.14544983899998, -34.872644786 -7.14617582499994))"
250750705000005,1,Área Urbana de Alta Densidade de Edificações,25,Paraíba,PB,2507507,João Pessoa,250750705,João Pessoa,25075070500,,"POLYGON ((-34.87047804 -7.14823703999997, -34.87058784 -7.14829697999994, -34.8711631199999 -7.14865697999994, -34.87175819 -7.14896049299995, -34.871922266 -7.14848621699997, -34.872328151 -7.14723424999994, -34.872644786 -7.14617582499994, -34.87197312 -7.14600701999996, -34.8710082969999 -7.14580725099995, -34.870589444 -7.14715696899998, -34.870325887 -7.14801158999995, -34.870113325 -7.14792137299997, -34.870059661 -7.14802668599998, -34.8702795799999 -7.14813406699994, -34.87047804 -7.14823703999997))"
250750705000006,1,Área Urbana de Alta Densidade de Edificações,25,Paraíba,PB,2507507,João Pessoa,250750705,João Pessoa,25075070500,,"POLYGON ((-34.8692379629999 -7.15057959599994, -34.86966804 -7.15071698999998, -34.8697979999999 -7.15076198999998, -34.87036284 -7.15108202999994, -34.8709381199999 -7.15132700999993, -34.87175819 -7.14896049299995, -34.8711631199999 -7.14865697999994, -34.87058784 -7.14829697999994, -34.87047804 -7.14823703999997, -34.8702795799999 -7.14813406699994, -34.870059661 -7.14802668599998, -34.869951467 -7.14815719999996, -34.870065589 -7.14822383999996, -34.869623228 -7.14883881599997, -34.869534705 -7.14920765999995, -34.869382373 -7.14917105999996, -34.8692947609999 -7.14955844799994, -34.869286524 -7.14988626799993, -34.869241904 -7.15052503799996, -34.8692379629999 -7.15057959599994))"
250750705000007,1,Área Urbana de Alta Densidade de Edificações,25,Paraíba,PB,2507507,João Pessoa,250750705,João Pessoa,25075070500,,"POLYGON ((-34.872813 -7.15227200999993, -34.8721930799999 -7.15199201999997, -34.871622692 -7.15175572099997, -34.871123901 -7.15326829899993, -34.8716970629999 -7.15355502299997, -34.8722824349999 -7.15384383099996, -34.872834309 -7.15415832599996, -34.873260635 -7.15374139699998, -34.8735675949999 -7.15342169799993, -34.874146455 -7.15288187399995, -34.8745421679999 -7.15244865999995, -34.874777173 -7.15217287799993, -34.8748798779999 -7.15187120699994, -34.874887577 -7.15183867099995, -34.8747517259999 -7.15051735699996, -34.874737781 -7.15051143999995, -34.8744160059999 -7.15036336899993, -34.874035592 -7.15174559699994, -34.8737239119999 -7.15271359699994, -34.872813 -7.15227200999993))"
250750705000008,1,Área Urbana de Alta Densidade de Edificações,25,Paraíba,PB,2507507,João Pessoa,250750705,João Pessoa,25075070500,,"POLYGON ((-34.8781586109999 -7.14358440499996, -34.878559848 -7.14398739399996, -34.877899046 -7.14476446699996, -34.876968215 -7.14606299599996, -34.87736304 -7.14642200999998, -34.8782068799999 -7.14695300999995, -34.8781179599999 -7.14707702999993, -34.87791312 -7.14747698999997, -34.87719708 -7.14729203999997, -34.8765418799999 -7.14714695999993, -34.8761613579999 -7.14889106499993, -34.8758387889999 -7.15013314099997, -34.8755457889999 -7.15118854499997, -34.875464262 -7.15153564899992, -34.8758098719999 -7.15119467099993, -34.8767132799999 -7.15029744099996, -34.8768492519999 -7.15032771199998, -34.877823226 -7.14927213399994, -34.878219432 -7.14873128199997, -34.878504509 -7.14835486999993, -34.878879006 -7.14794235399995, -34.879145512 -7.14740519699996, -34.879448354 -7.14699297399994, -34.8795409759999 -7.14691223699998, -34.8797160999999 -7.14675958399994, -34.8801451369999 -7.14654340599998, -34.880323537 -7.14636398799996, -34.880340792 -7.14620309599997, -34.880413865 -7.14601581199997, -34.8806280909999 -7.14583624799997, -34.8808418049999 -7.14553160299994, -34.88096683 -7.14544174699995, -34.881136774 -7.14563171399993, -34.8815347669999 -7.14643748799995, -34.8818705589999 -7.14615076899997, -34.88234484 -7.14582721499994, -34.882642237 -7.14561594199995, -34.8825349219999 -7.14550563399996, -34.8825044439999 -7.14548209699996, -34.882401192 -7.14546536399996, -34.8822462429999 -7.14542310999997, -34.88199629 -7.14527831399994, -34.881849765 -7.14519313899996, -34.881814893 -7.14515691099996, -34.881677058 -7.14501371799997, -34.881590441 -7.14485967899998, -34.881555662 -7.14476546899994, -34.88150393 -7.14473137099998, -34.88141777 -7.14468883499995, -34.8814090659999 -7.14466313899993, -34.881279879 -7.14461220099997, -34.880932312 -7.14440089199996, -34.8808290599999 -7.14438415799998, -34.880699942 -7.14435037499993, -34.880561911 -7.14423943199995, -34.880441532 -7.14423992299993, -34.880157711 -7.14422392599994, -34.879959667 -7.14415611399994, -34.8797872759999 -7.14405388799997, -34.8796663009999 -7.14390856499995, -34.879528761 -7.14391770299994, -34.879434003 -7.14387520199995, -34.879382096 -7.14379821699993, -34.87906227 -7.14338780499997, -34.878992953 -7.14332383199996, -34.8787742379999 -7.14309909499997, -34.8786833099999 -7.14300566499998, -34.878511864 -7.14291958799993, -34.8780620049999 -7.14349930999998, -34.8781586109999 -7.14358440499996))"
250750705000009,1,Área Urbana de Alta Densidade de Edificações,25,Paraíba,PB,2507507,João Pessoa,250750705,João Pessoa,25075070500,,"POLYGON ((-34.87629071 -7.14422262799997, -34.876849907 -7.14447365499996, -34.876891676 -7.14448920799992, -34.8774908249999 -7.14472284599998, -34.877941264 -7.14379853599996, -34.8781586109999 -7.14358440499996, -34.8780620049999 -7.14349930999998, -34.878511864 -7.14291958799993, -34.878412617 -7.14285134499994, -34.878318712 -7.14274811299993, -34.878224468 -7.14256199099998, -34.878140823 -7.14242763199996, -34.878015927 -7.14236597199994, -34.877914877 -7.14240521399995, -34.8778811089999 -7.14241832799996, -34.877673581 -7.14247097999993, -34.8775588189999 -7.14234710999995, -34.877537622 -7.14224358199994, -34.8774334999999 -7.14218183599996, -34.877360283 -7.14205779699995, -34.8773390449999 -7.14194390699993, -34.87724514 -7.14184067399998, -34.877252308 -7.14180910299996, -34.877275751 -7.14170585099993, -34.877296271 -7.14164359799997, -34.8772233939999 -7.14160244899995, -34.877171248 -7.14155085399995, -34.8771188489999 -7.14143709099994, -34.876937552 -7.14134300999996, -34.8767707109999 -7.14154923799993, -34.87666052 -7.14174904099997, -34.876458972 -7.14215452699995, -34.876997546 -7.14252517799997, -34.8767906799999 -7.14277345799997, -34.87629071 -7.14422262799997))"
250750705000010,1,Área Urbana de Alta Densidade de Edificações,25,Paraíba,PB,2507507,João Pessoa,250750705,João Pessoa,25075070500,,"POLYGON ((-34.873760849 -7.14070393999998, -34.8739714339999 -7.14164322699997, -34.8740681629999 -7.14171300499993, -34.874487562 -7.14158209999994, -34.874501161 -7.14194510799996, -34.874067446 -7.14321627699996, -34.8741143569999 -7.14327508099996, -34.8743695489999 -7.14338061399997, -34.874871449 -7.14358696799997, -34.8756458469999 -7.14392606299998, -34.87629071 -7.14422262799997, -34.8767906799999 -7.14277345799997, -34.876997546 -7.14252517799997, -34.876458972 -7.14215452699995, -34.87666052 -7.14174904099997, -34.8767707109999 -7.14154923799993, -34.876937552 -7.14134300999996, -34.8769133879999 -7.14132158199993, -34.87684023 -7.14126691999996, -34.876723091 -7.14117966399994, -34.8765876809999 -7.14108696199997, -34.8765042059999 -7.14099404799992, -34.876452018 -7.14093209099997, -34.876223169 -7.14085012999993, -34.8759945739999 -7.14083033699995, -34.8756932699999 -7.14081083899993, -34.875423042 -7.14077049199994, -34.875187963 -7.14065854499995, -34.874882333 -7.14062762799995, -34.8748510459999 -7.14059667099997, -34.87473439 -7.14056003999997, -34.8745964399999 -7.14058842399993, -34.87447952 -7.14058816699998, -34.874268233 -7.14063007299995, -34.874115537 -7.14061737299994, -34.8739739659999 -7.14066994099994, -34.873866979 -7.14067074499997, -34.8738315589999 -7.14067709799997, -34.873805037 -7.14068904799996, -34.873760849 -7.14070393999998))"
